sample_no;i_alpha;i_beta;v_alpha;v_beta;hall_angle;Battery_Voltage
0;5950;6800;-7525;27831;-118;1372
1;4500;6650;-9869;27428;-114;1376
2;3200;6900;-11949;26557;-111;1376
3;2050;7150;-14231;26064;-108;1391
4;850;7050;-16440;24953;-105;1400
5;-100;6200;-17422;24370;-103;1384
6;-1400;6050;-19254;22784;-100;1376
7;-2200;6300;-20906;21049;-97;1367
8;-2850;6500;-22737;19688;-94;1376
9;-3800;6300;-24320;17779;-90;1378
10;-4600;6050;-25983;16007;-87;1384
11;-5500;5900;-27042;14270;-84;1376
12;-6600;5450;-28106;11997;-81;1376
13;-7450;4750;-29171;9868;-78;1376
14;-8350;4100;-29848;7643;-75;1376
15;-9150;3500;-30662;5239;-71;1380
16;-9600;3250;-30829;4087;-70;1368
17;-10000;2800;-31069;1635;-67;1368
18;-10500;2750;-31126;-861;-63;1360
19;-11400;1550;-31406;-3271;-60;1368
20;-12350;900;-30840;-5738;-57;1360
21;-13000;-100;-30075;-8129;-54;1360
22;-13400;-650;-29166;-10280;-51;1360
23;-13250;-1350;-27971;-12527;-47;1360
24;-13300;-2800;-26919;-14679;-44;1360
25;-12950;-3900;-26649;-14493;-44;1356
26;-12600;-4500;-25791;-15494;-42;1356
27;-11600;-3050;-25192;-16304;-41;1352
28;-11700;-3950;-23766;-17920;-38;1352
29;-11700;-4300;-22245;-19441;-35;1352
30;-11450;-4600;-20493;-20540;-32;1340
31;-11300;-5200;-18881;-21910;-29;1346
32;-11250;-5650;-17294;-23153;-27;1344
33;-11050;-6150;-15498;-24098;-24;1344
34;-10950;-6450;-13770;-25245;-21;1360
35;-10550;-6650;-12046;-26462;-18;1376
36;-10550;-7000;-10081;-26915;-15;1372
37;-10700;-7500;-7985;-27110;-12;1360
38;-10450;-7150;-7029;-27158;-11;1360
39;-10200;-7050;-4973;-27349;-8;1360
40;-10200;-7100;858;-27698;1;1356
41;-9800;-7450;3029;-27558;4;1368
42;-8200;-7450;5418;-27381;7;1376
43;-6400;-7300;7554;-26775;11;1360
44;-4600;-7350;9714;-26212;14;1368
45;-2900;-7300;11905;-25389;17;1360
46;-1200;-6800;14125;-24623;21;1376
47;400;-6250;16533;-24206;24;1408
48;1900;-5500;18502;-22724;27;1396
49;2300;-5800;19253;-21866;29;1376
50;3350;-5600;20994;-20173;32;1376
51;4450;-5050;22736;-18576;36;1376
52;5450;-4750;24332;-16883;39;1376
53;6350;-3850;25179;-15768;41;1380
54;7100;-3650;26025;-14658;43;1376
55;7850;-3350;27041;-12675;46;1376
56;8250;-3650;28154;-10643;49;1376
57;8750;-3550;28879;-8466;52;1376
58;9500;-2900;29653;-6338;55;1376
59;9900;-3100;30154;-4040;58;1368
60;10650;-2200;30539;-2934;60;1368
61;11300;-1750;30725;-531;63;1372
62;12000;-1550;30125;1718;66;1358
63;12600;-1300;29739;3968;69;1360
64;13300;-800;29529;6300;72;1368
65;13550;-750;28544;8415;75;1360
66;13750;-200;27874;10518;78;1360
67;13750;200;26727;12526;81;1360
68;13550;750;25484;14391;84;1360
69;13450;1300;24408;15588;87;1356
70;13100;1250;23647;16444;88;1368
71;12800;2100;22244;18014;91;1360
72;12350;2250;20818;19677;94;1352
73;12050;3050;19107;21008;97;1352
74;11600;3500;17396;22149;100;1352
75;11150;3900;15730;23571;104;1360
76;11100;4700;13960;24683;107;1374
77;11100;5550;12045;25493;110;1376
78;11150;6300;10003;26163;113;1368
79;10900;6200;7842;26284;116;1352
80;10750;6500;5893;26569;119;1352
81;10250;5550;4814;26791;120;1364
82;9950;5950;2916;27348;123;1360
83;10250;6750;-726;27815;-127;1376
84;9150;5750;-2934;27750;-124;1368
85;8250;6050;-5098;27461;-121;1368
86;6900;6000;-7311;27172;-118;1368
87;5550;5800;-9523;26740;-115;1368
88;4000;5800;-11673;26239;-111;1372
89;2800;6050;-14116;25919;-108;1399
90;1700;6350;-16144;24707;-105;1400
91;500;6200;-18058;23490;-102;1392
92;250;6450;-18743;22376;-100;1360
93;-1150;6150;-20681;21161;-97;1368
94;-1750;6350;-22574;19631;-94;1372
95;-2450;6650;-24333;17947;-90;1376
96;-3350;6600;-25665;16107;-87;1380
97;-4350;6250;-26945;14222;-84;1376
98;-5200;6200;-27847;11975;-81;1368
99;-6200;5600;-28857;9907;-78;1368
100;-7400;4800;-29751;7594;-75;1376
101;-8300;3950;-30477;5224;-71;1376
102;-9400;2950;-31238;3016;-68;1384
103;-9450;3250;-31213;1683;-67;1368
104;-10300;2450;-31396;-726;-64;1376
105;-11200;1650;-31310;-3223;-60;1368
106;-12100;1150;-31213;-5724;-57;1368
107;-12850;50;-30595;-8057;-54;1364
108;-12550;500;-29979;-10519;-51;1360
109;-12800;-550;-28747;-12729;-47;1356
110;-13000;-1750;-27378;-14735;-44;1352
111;-13100;-3350;-27349;-14727;-44;1360
112;-13100;-4400;-26536;-16065;-42;1360
113;-13450;-5350;-25198;-17739;-40;1360
114;-12750;-4400;-24003;-18333;-38;1344
115;-12300;-4500;-22815;-20059;-35;1352
116;-12400;-5300;-21214;-21548;-32;1356
117;-12300;-5700;-19365;-22734;-29;1350
118;-12800;-7100;-17672;-23909;-26;1344
119;-12600;-7300;-15829;-25023;-23;1348
120;-12500;-7850;-13962;-26106;-21;1360
121;-12400;-8300;-12120;-26933;-18;1368
122;-12550;-8900;-10004;-27487;-15;1355
123;-12150;-8700;-7986;-27854;-12;1352
124;-12300;-9250;-5959;-28175;-9;1356
125;-11900;-8600;-4889;-28050;-8;1350
126;-11550;-8900;710;-28387;0;1348
127;-11200;-9450;3060;-28258;4;1360
128;-9350;-9200;5402;-27923;7;1360
129;-7500;-9050;7228;-26366;10;1318
130;-5050;-7800;9720;-26528;14;1362
131;-3400;-7750;11809;-25628;17;1360
132;-1650;-7600;13913;-24815;20;1360
133;-450;-7450;16254;-24043;24;1376
134;900;-7150;18494;-23033;27;1388
135;1950;-6050;19293;-22188;29;1384
136;2950;-6150;21161;-20681;32;1376
137;3800;-6100;22892;-19094;35;1368
138;4450;-6200;24719;-17415;38;1376
139;5450;-5550;26267;-15432;42;1376
140;6650;-4600;26703;-14755;43;1376
141;7450;-4350;28009;-12675;46;1376
142;8250;-4000;28879;-10498;49;1376
143;8850;-4000;29760;-8345;52;1372
144;9550;-3600;30524;-5999;56;1376
145;10250;-3450;30587;-3608;59;1368
146;10500;-3300;30443;-2405;60;1368
147;11400;-2600;30360;-48;63;1368
148;11600;-2950;29985;2192;66;1356
149;11900;-2900;29548;4542;70;1360
150;12350;-2450;28878;6741;73;1360
151;12650;-2200;24910;16112;87;1360
152;12400;-1200;24336;16543;88;1360
153;11250;1400;23141;18168;91;1360
154;10000;3300;19125;22089;98;1360
155;8550;5750;15153;24839;105;1364
156;6350;7800;8852;28057;115;1376
157;5300;9000;1278;28650;126;1351
158;600;10900;-2886;28952;-124;1368
159;-4350;12750;-15061;24575;-106;1360
160;-9500;14050;-23715;15969;-89;1360
161;-15750;13950;-27216;7465;-75;1344
162;-22850;11350;-27972;-1182;-63;1344
163;-30200;6300;-26224;-9781;-50;1344
164;-35950;0;-21804;-16621;-38;1328
165;-39550;-6450;-17310;-21023;-29;1320
166;-42250;-14400;-13146;-23432;-21;1312
167;-44000;-23200;-8978;-26035;-14;1344
168;-44000;-27000;-4409;-26406;-7;1308
169;-43100;-34800;-2568;-26131;-5;1304
170;-41800;-43300;1002;-26062;1;1296
171;-39000;-50750;4301;-25358;6;1288
172;-35400;-57350;6858;-23510;11;1227
173;-30750;-62950;9502;-23090;15;1263
174;-25500;-67350;11670;-21762;20;1248
175;-19900;-71000;13644;-20424;23;1252
176;-13950;-73400;15219;-18763;27;1244
177;-7350;-74300;16458;-16929;31;1216
178;-550;-74800;17634;-14977;35;1200
